"route","mod","aic","dAIC","z"
"124_04_138","fish",294.979919270298,0,NA
"124_04_139","tnegb",427.872472468021,3.48842265798976,1.26081200700181
"124_04_139","plnorm",424.384049810031,0,NA
"124_04_139","fish",425.856807030626,1.47275722059499,NA
"124_04_141","tnegb",259.033968091741,1.99380129989231,0.00394969976243544
"124_04_141","plnorm",260.651141451566,3.61097465971784,NA
"124_04_141","fish",257.040166791848,0,NA
"124_04_143","tnegb",323.779882432631,0,0.00134573678640646
"124_04_143","plnorm",326.271247092774,2.49136466014266,NA
"124_04_143","fish",324.033707318284,0.25382488565208,NA
"124_04_153","tnegb",335.690189512844,0,0.00130675124603233
"124_04_153","plnorm",338.530270411226,2.84008089838233,NA
"124_04_153","fish",340.810538819606,5.12034930676225,NA
"124_04_196","tnegb",230.523789694715,1.96004834720316,0.00080534419653008
"124_04_196","plnorm",231.679738838248,3.11599749073602,NA
"124_04_196","fish",228.563741347512,0,NA
"124_04_201","tnegb",286.837965179257,1.29318120618109,1.49440950585179e-06
"124_04_201","plnorm",289.049717916857,3.50493394378071,NA
"124_04_201","fish",285.544783973076,0,NA
"124_04_203","tnegb",300.188932514956,4.24654307225728,4.64431881280683e-05
"124_04_203","plnorm",295.942389442698,0,NA
"124_04_203","fish",299.47997519812,3.53758575542207,NA
"124_04_204","tnegb",384.879514315319,1.33212170274879,4.47353065392908e-05
"124_04_204","plnorm",388.02132932139,4.47393670881922,NA
"124_04_204","fish",383.547392612571,0,NA
"124_04_205","tnegb",233.392695863909,2.00854944263608,0.0940030606001318
"124_04_205","plnorm",233.576009868674,2.19186344740098,NA
"124_04_205","fish",231.384146421273,0,NA
"124_04_208","tnegb",392.346519175414,2.00402068887377,0.0824046310133306
"124_04_208","plnorm",392.699192835192,2.35669434865144,NA
"124_04_208","fish",390.342498486541,0,NA
"124_04_209","tnegb",459.999487077175,0,0.000976753225480721
"124_04_209","plnorm",463.387451978911,3.38796490173638,NA
"124_04_209","fish",466.350068258418,6.35058118124329,NA
"124_04_210","tnegb",357.762977491635,2.1370536049439,0.0581480680722106
"124_04_210","plnorm",355.625923886691,0,NA
"124_04_210","fish",355.760210932671,0.134287045980159,NA
"124_04_211","tnegb",250.822630157175,2.00547926547702,0.159280882367088
"124_04_211","plnorm",251.189327752909,2.37217686121102,NA
"124_04_211","fish",248.817150891698,0,NA
"124_04_212","tnegb",319.927633997779,2.00118639100702,0.000600168113366068
"124_04_212","plnorm",320.442440643165,2.51599303639398,NA
"124_04_212","fish",317.926447606771,0,NA
"124_04_213","tnegb",254.944755719009,0.855945675911698,0.000759071153371977
"124_04_213","plnorm",255.370988263209,1.28217822011177,NA
"124_04_213","fish",254.088810043097,0,NA
"124_04_214","tnegb",418.815685298301,0.723710215398853,8.50006525828954e-06
"124_04_214","plnorm",420.365908400819,2.27393331791706,NA
"124_04_214","fish",418.091975082902,0,NA
"124_04_215","tnegb",180.899714416869,1.93953349732027,0.00077421379101576
"124_04_215","plnorm",181.840203117322,2.88002219777334,NA
"124_04_215","fish",178.960180919549,0,NA
"124_04_220","tnegb",434.435300665941,2.00753110506662,0.106828602728166
"124_04_220","plnorm",439.845146399963,7.41737683908912,NA
"124_04_220","fish",432.427769560874,0,NA
"124_04_221","tnegb",346.389055127724,2.0095680272625,0.0910329392969397
"124_04_221","plnorm",346.380602526304,2.00111542584227,NA
"124_04_221","fish",344.379487100461,0,NA
"124_04_225","tnegb",162.353233533362,1.85761542072311,0.000756522461430851
"124_04_225","plnorm",165.566300838304,5.07068272566531,NA
"124_04_225","fish",160.495618112639,0,NA
"124_04_229","tnegb",420.932472615477,0.414295499649143,2.03094877661745e-05
"124_04_229","plnorm",420.55103477418,0.0328576583523841,NA
"124_04_229","fish",420.518177115828,0,NA
"124_04_239","tnegb",445.936173967713,1.91934793526758,0.00467575837571676
"124_04_239","plnorm",451.420272635411,7.40344660296586,NA
"124_04_239","fish",444.016826032446,0,NA
"124_04_241","tnegb",169.39849295002,0,0.00453498192999343
"124_04_241","plnorm",171.50230996043,2.10381701040998,NA
