"fg","ff","S","ks","ll","chi2.cdf","chi2.rad","mse.cdf","mse.rad","lr","z_ks","z_ll","z_chi2.cdf","z_chi2.rad","z_mse.cdf","z_mse.rad","z_lr"
"2,0.01","2,0.01",40,0.0643065122437592,-170.291146517846,0.0581957060882282,444.163345642393,0.00597763471496096,0.138914625405947,33.0127517547326,10.1983404097839,0.37426970456498,34.7631581300712,38.6663651898008,57.2881568555988,0.401114079079578,3.64302519615568
"2,0.01","2,0.01",40,0.0859066342291037,-171.664176971675,0.092223160358402,108.26298614752,0.0121488265247886,0.18471851570418,14.1787852518964,0.093455611913536,0.527985626891399,8.20436923191642,14.9046721594691,0.647670069681254,1.92401626625421,1.22391607865986
"2,0.01","2,0.01",55,0.0565266796797291,-225.58198740674,0.0432533881458236,35.7377494582318,0.0027087012444603,0.0187893424385119,27.7051122965937,8.1368272174399,0.00109517224236442,1.43245588304935,173.611454397864,1.9230674332151,2.94275948858138,0.0412988821492985
"2,0.01","2,0.01",55,0.0824883304255773,-230.000525077987,0.0868291068317397,323.901274032389,0.00695365256587693,0.0848475789095228,41.2784084700831,3.00307591213047,0.0091851041101786,0.903161303094291,47.2536179365714,1.04726902322177,1.16466663344692,5.6845099881553
"2,0.01","2,0.01",55,0.0986992790139589,-234.492557009044,0.171039915144544,145.109942553703,0.0124032332986818,0.210029645792244,15.6338331112315,1.06885671174686,0.0514907970559441,0.224651262151648,116.299733057224,0.310087395743652,0.0160055835887365,3.01518816530705
"2,0.01","2,0.01",75,0.0829042142725369,-300.866512249499,0.119714212090177,211.200704287233,0.0077604494409725,0.0484940103153721,51.8525920727778,9.49322427230479,0.222509408896796,205.238719427778,18.171501534969,17.9926238070616,0.929091784801148,0.153185502669531
"2,0.01","2,0.01",75,0.060760032437563,-313.007757708975,0.0573336543341816,229.541762500532,0.00298149123210265,0.0489689212411295,47.1674560174042,40.1070517617327,0.0208028503001864,669.278726459476,16.7462673689213,98.8000335124427,0.923318828920657,0.00037533345657223
"2,0.01","2,0.01",75,0.0970547587592261,-326.737699827461,0.15333303445707,160.443051077028,0.00759975036847823,0.175605249477197,25.4867361006736,1.00616880456903,0.0511193739631689,65.6843910822356,22.4191307555443,19.654823514421,0.0259634719961148,3.68716872963888
"2,0.01","2,0.01",105,0.0839847036700239,-429.162631731834,0.0837676098160012,303.580523820344,0.00370257013288707,0.0409492034825467,69.4622587616507,0.450072413710302,0.353843096530241,0.00738526247842812,0.710406554531641,0.289578276942865,0.476613220437633,0.182292770201459
"2,0.01","2,0.01",105,0.0452588931961401,-425.579118936552,0.04723030992687,168.865948627996,0.00207021565548347,0.0261701438793826,63.3069558073194,1.33752779525312,0.522520831066096,0.617839623565889,2.25313616554236,1.50907547455429,0.713367958494634,0.0587854641459836
